index,quality
0,6
1,6
2,6
3,5
4,6
5,5
6,6
7,7
8,6
9,7
10,6
11,6
12,7
13,7
14,6
15,5
16,6
17,6
18,6
19,6
20,6
21,6
22,5
23,7
24,6
25,6
26,5
27,5
28,6
29,6
30,7
31,7
32,5
33,5
34,6
35,6
36,5
37,5
38,6
39,6
40,7
41,5
42,8
43,6
44,6
45,7
46,5
47,6
48,4
49,6
50,5
51,5
52,6
53,4
54,5
55,5
56,6
57,7
58,5
59,7
60,5
61,6
62,5
63,4
64,5
65,6
66,5
67,5
68,6
69,5
70,5
71,5
72,5
73,6
74,7
75,5
76,4
77,6
78,6
79,7
80,7
81,6
82,5
83,5
84,6
85,6
86,5
87,5
88,6
89,7
90,6
91,6
92,6
93,6
94,6
95,7
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,4
104,5
105,6
106,6
107,6
108,7
109,5
110,6
111,6
112,6
113,5
114,5
115,7
116,6
117,7
118,6
119,6
120,8
121,5
122,6
123,7
124,6
125,5
126,6
127,6
128,6
129,7
130,4
131,5
132,6
133,5
134,5
135,8
136,6
137,7
138,6
139,6
140,5
141,6
142,5
143,5
144,5
145,5
146,7
147,6
148,6
149,7
150,5
151,8
152,6
153,5
154,5
155,5
156,6
157,5
158,6
159,3
160,5
161,6
162,6
163,7
164,6
165,5
166,4
167,6
168,6
169,5
170,5
171,5
172,6
173,5
174,6
175,6
176,6
177,5
178,5
179,5
180,5
181,6
182,7
183,6
184,5
185,8
186,6
187,6
188,5
189,7
190,6
191,5
192,5
193,6
194,6
195,5
196,7
197,5
198,5
199,5
200,6
201,6
202,6
203,5
204,6
205,5
206,6
207,6
208,6
209,6
210,7
211,5
212,5
213,7
214,7
215,5
216,7
217,6
218,7
219,7
220,7
221,5
222,6
223,6
224,7
225,6
226,6
227,5
228,6
229,5
230,7
231,7
232,7
233,5
234,6
235,6
236,6
237,6
238,6
239,7
240,6
241,6
242,6
243,7
244,7
245,6
246,6
247,7
248,5
249,6
250,5
251,6
252,7
253,6
254,6
255,6
256,6
257,8
258,7
259,6
260,7
261,5
262,5
263,7
264,5
265,5
266,6
267,5
268,6
269,7
270,6
271,6
272,5
273,5
274,6
275,5
276,6
277,7
278,5
279,6
280,6
281,6
282,7
283,6
284,7
285,7
286,5
287,6
288,6
289,6
290,5
291,5
292,5
293,6
294,6
295,7
296,8
297,6
298,5
299,7
300,7
301,6
302,6
303,5
304,6
305,7
306,6
307,7
308,5
309,6
310,6
311,5
312,5
313,5
314,6
315,6
316,6
317,6
318,6
319,5
320,5
321,5
322,5
323,5
324,5
325,5
326,6
327,8
328,7
329,5
330,6
331,7
332,7
333,5
334,5
335,6
336,5
337,6
338,6
339,6
340,5
341,6
342,6
343,6
344,5
345,7
346,5
347,6
348,5
349,6
350,5
351,5
352,5
353,6
354,6
355,5
356,6
357,6
358,6
359,6
360,5
361,5
362,6
363,7
364,6
365,5
366,5
367,3
368,6
369,6
370,7
371,6
372,5
373,5
374,6
375,5
376,5
377,6
378,7
379,6
380,7
381,6
382,7
383,7
384,6
385,6
386,6
387,5
388,7
389,6
390,7
391,6
392,7
393,5
394,5
395,6
396,6
397,6
398,7
399,5
400,7
401,6
402,6
403,6
404,7
405,6
406,6
407,6
408,6
409,6
410,6
411,4
412,5
413,5
414,5
415,8
416,7
417,6
418,5
419,6
420,7
421,6
422,5
423,5
424,6
425,6
426,6
427,6
428,5
429,6
430,7
431,4
432,5
433,7
434,7
435,4
436,6
437,5
438,5
439,4
440,5
441,7
442,6
443,5
444,6
445,6
446,6
447,4
448,5
449,6
450,5
451,7
452,5
453,6
454,6
455,5
456,7
457,6
458,6
459,5
460,5
461,7
462,5
463,5
464,5
465,5
466,6
467,6
468,6
469,5
470,5
471,5
472,5
473,5
474,5
475,5
476,8
477,8
478,7
479,6
480,6
481,7
482,6
483,5
484,8
485,5
486,5
487,6
488,5
489,6
490,6
491,6
492,5
493,7
494,5
495,6
496,5
497,5
498,5
499,6
500,6
501,5
502,6
503,7
504,6
505,5
506,6
507,7
508,6
509,7
510,4
511,5
512,6
513,6
514,6
515,6
516,6
517,8
518,6
519,6
520,5
521,5
522,4
523,6
524,6
525,5
526,7
527,6
528,7
529,6
530,5
531,5
532,7
533,5
534,7
535,6
536,6
537,6
538,5
539,5
540,5
541,5
542,7
543,5
544,7
545,6
546,6
547,5
548,6
549,6
550,4
551,6
552,6
553,6
554,5
555,6
556,5
557,5
558,5
559,6
560,5
561,7
562,6
563,6
564,7
565,6
566,6
567,7
568,6
569,5
570,6
571,7
572,5
573,7
574,5
575,6
576,5
577,5
578,5
579,5
580,8
581,5
582,5
583,5
584,6
585,7
586,7
587,7
588,7
589,6
590,7
591,5
592,7
593,6
594,5
595,5
596,5
597,7
598,6
599,6
600,6
601,6
602,6
603,7
604,5
605,7
606,5
607,5
608,7
609,6
610,8
611,5
612,5
613,6
614,6
615,6
616,5
617,6
618,6
619,7
620,6
621,6
622,6
623,7
624,5
625,6
626,5
627,8
628,4
629,6
630,5
631,7
632,6
633,5
634,6
635,6
636,5
637,5
638,8
639,5
640,5
641,6
642,6
643,5
644,6
645,6
646,7
647,5
648,5
649,5
650,6
651,6
652,6
653,7
654,7
655,5
656,6
657,6
658,6
659,5
660,7
661,5
662,6
663,6
664,5
665,6
666,7
667,5
668,5
669,5
670,6
671,5
672,6
673,7
674,5
675,5
676,6
677,6
678,7
679,7
680,7
681,6
